SWIS,Longitude,Latitude,LandfillName,City,LandfillOwnershipType,Owner,Class,TypeOfWaste,TypeOfWaste2,CurrentLandfillStatus,YearOpened,YearClosed,YearRange,Converted,ConversionType,SiteConversion,SiteRegulartoryStatus,DocumentationLink
"38-AA-0028","[122.38510190000001, 122.38488770000001, 122.3852223, 122.3854209]","[37.718339799999995, 37.7181563, 37.717861600000006, 37.7179886]","JRZ Demolition, Inc.","San Francisco","Private","JRZ Demolition, Inc.","Class I","Hazardous Waste","Illegal Dump","Closed","nan","nan","Illegal site not permitted by the LEA. No opening or closing dates available","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/369486"
"38-CR-0008","[122.37558529999998, 122.37432340000002, 122.3743896, 122.3746197, 122.37533429999999, 122.37545290000001, 122.3753762, 122.37640459999999, 122.3763453]","[37.7402472, 37.739574600000005, 37.7393182, 37.739136200000004, 37.738855, 37.739128, 37.7392741, 37.7396435, 37.739833700000005]","SF Pier 98 India Basin","San Francisco","Private","Port of San Francisco","Class III","Non-Hazardous Waste","nan","Closed","1970.0","1977.0","nan","Converted ","Public","Heron's Head Park","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/418839"
"38-CR-0018","[122.3771459, 122.37403090000001, 122.37416709999998, 122.37474579999999, 122.3754352, 122.3758182, 122.37629479999998, 122.3767544, 122.376797, 122.3773247, 122.37797150000002, 122.37801409999999, 122.37804809999999, 122.37802260000001, 122.3777247, 122.3774013]","[37.726037899999994, 37.724907, 37.7238299, 37.7230624, 37.7228739, 37.722947999999995, 37.7231432, 37.7235404, 37.7239578, 37.7241597, 37.7240722, 37.7246714, 37.724907, 37.7252436, 37.7256879, 37.7259235]","Hunters Point","San Francisco","Private","U.S. Department of the Navy -  Naval Radiological Defense Laboratory (NRDL)","Class I","Hazardous Waste","nan","Closed","1950.0","1970.0","Operated from the mid 1950's until the early 1970's","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/352728"
"38-CR-0020","[122.4539183, 122.4525176, 122.4524432, 122.45334809999999, 122.4533977, 122.45390590000001]","[37.72545039999999, 37.725479799999995, 37.723901299999994, 37.7238915, 37.724019, 37.724019]","Frewert Road Class III Disposal Site - City College Of San Francisco","San Francisco","nan","nan","Class III","Non-Hazardous Waste","nan","Closed","1950.0","nan","No closure year","Converted ","School Campus","Parking Lot/ CCSF Campus Building ","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/348020"
"38-CR-0029","[122.3812751, 122.38106200000001, 122.3814106, 122.38357979999999, 122.38370570000001]","[37.759662299999995, 37.7581848, 37.7577943, 37.757687100000005, 37.7595781]","Pier 70","San Francisco","nan","nan","nan","nan","nan","Closed","1970.0","nan","nan","Not Converted","nan","nan","Pre-regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/320872"
"41-AA-0001","[122.4961058, 122.49634420000001, 122.4961244, 122.4959906, 122.49492009999999, 122.49501570000001, 122.4949679, 122.4946913, 122.494573, 122.494674, 122.49492, 122.495368, 122.49545900000001, 122.4955095, 122.4956072, 122.4957015, 122.49582279999998, 122.49589350000001, 122.49601820000001, 122.49383780000001, 122.49304309999998, 122.4934463, 122.494472, 122.4947696, 122.4948949, 122.49444070000001]","[37.6668657, 37.668060499999996, 37.670367999999996, 37.6710943, 37.6711548, 37.67089, 37.6703604, 37.6691337, 37.668362200000004, 37.6680737, 37.6676471, 37.6673617, 37.6672764, 37.6671831, 37.6671031, 37.666943100000005, 37.666844399999995, 37.6668391, 37.6669137, 37.6723193, 37.67174910000001, 37.6709961, 37.6708071, 37.670955799999994, 37.6714919, 37.672210799999995]","Mussel Rock Disposal Site","Daly City","Private","Daly City Scavenger Company","Class III","Non-Hazardous Waste","nan","Closed","1957.0","1978.0","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/293709"
"41-AA-0003","[122.3876051, 122.3810706, 122.3812129, 122.387534, 122.38796090000001, 122.3887436, 122.38970420000001, 122.3912104, 122.3922777]","[37.6772391, 37.67727670000001, 37.6717948, 37.671757299999996, 37.6687346, 37.6683873, 37.6683216, 37.6683497, 37.6685281]","Sierra Point Landfill","Brisbane","Private","Sunset Scavenger Company","Class III","Non-Hazardous Waste","nan","Closed","1965.0","1972.0","Exact","Fully Converted","Commercial","Business Park","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/459581"
"41-AA-0007","[122.4674375, 122.46615030000001, 122.46567649999999, 122.46706780000001, 122.4691606, 122.46910759999999, 122.46886699999999, 122.468376]","[37.6766029, 37.6758263, 37.6749989, 37.674153600000004, 37.6768201, 37.67694960000001, 37.677018200000006, 37.67683529999999]","Junipero Serra Solid Waste Disposal Site","Colma","Private","BOCCI/SCHNEIDER INTERESTS","Class III","Non-Hazardous Waste","nan","Closed","1956.0","1982.0","nan","Converted ","Commercial","Commercial","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/227657"
"41-AA-0008","[122.439949, 122.44317020000001, 122.4432423, 122.44347069999999, 122.44380729999999, 122.44491310000001, 122.4450212, 122.44524960000001, 122.445502, 122.44599479999998, 122.44724479999999, 122.4477737, 122.4490838, 122.44835060000001, 122.447353, 122.44657179999999, 122.4456943, 122.4452376, 122.44480490000001, 122.44422790000002, 122.44309809999999, 122.44218459999999, 122.4416317, 122.44141540000001, 122.4410067, 122.4400091, 122.43973259999999, 122.439949, 122.43999709999999]","[37.6816356, 37.6807795, 37.680846100000004, 37.6812076, 37.68155, 37.6817973, 37.681997100000004, 37.6826344, 37.6831386, 37.683309799999996, 37.6824822, 37.68337639999999, 37.684061299999996, 37.6850125, 37.6846891, 37.6847367, 37.6850696, 37.6849174, 37.6851076, 37.684869799999994, 37.684403700000004, 37.6841088, 37.683718799999994, 37.6832813, 37.6831766, 37.6832337, 37.683071999999996, 37.6824537, 37.682044700000006]","Hillside Class III Disposal Site (Parcel 1)","Colma","Private","Cypress-Amloc Land Company, Inc.","Class III","Non-Hazardous Waste","nan","Closed","1971.0","2012.0","Parcel 1 closed prior to 1974, parcel 2 closed in 2012, and parcel 3 closed 2002. No opening date for parcel 1, parcel 2 opened in 1971, and parcel 3 opened in 1988.","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/366650"
"41-AA-0009","[122.356807, 122.3560639, 122.35569879999998, 122.35213329999999, 122.35168999999999, 122.3519312, 122.3541996, 122.35449950000002, 122.3549557, 122.35569879999998, 122.3570025, 122.35808459999998, 122.35830619999999, 122.35779779999999]","[37.5901684, 37.5917386, 37.591733399999995, 37.591878, 37.5918057, 37.5887169, 37.588887400000004, 37.58882020000001, 37.5887789, 37.588918400000004, 37.589564, 37.589409100000005, 37.5897397, 37.5906487]","Burlingame Refuse Disposal Area","Burlingame","Public","City of Burlingame","Class III","Non-Hazardous Waste","nan","Closed","1957.0","1987.0","nan","Converted ","Public","Bayside Park","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/437941"
"41-AA-0010","[122.2969692, 122.297234, 122.3061459, 122.3058912, 122.30530049999999, 122.3048422, 122.3043024, 122.30431259999999, 122.3042005, 122.3038746, 122.3035385, 122.302907, 122.3022348, 122.30190890000002, 122.3013895, 122.3009006, 122.3005034]","[37.575428499999994, 37.5716183, 37.574274100000004, 37.574532399999995, 37.5748473, 37.5750571, 37.5752186, 37.5753477, 37.575428499999994, 37.5755495, 37.5757191, 37.575824, 37.5756948, 37.5757191, 37.575711, 37.575735200000004, 37.5757756]","3rd Ave LF/San Mateo Composting Site","San Mateo","Public","City Of San Mateo Public Works","Class III","Non-Hazardous Waste","nan","Closed","1932.0","1982.0","nan","Converted ","Public","Shoreline Park","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/223490"
"41-AA-0012","[122.16817879999999, 122.1676777, 122.1741176, 122.1740298, 122.1763423, 122.1776303, 122.17752720000001, 122.1738928, 122.17393020000002, 122.1737991, 122.17183200000001, 122.1695652]","[37.495974600000004, 37.4894417, 37.4893023, 37.487862299999996, 37.487908700000006, 37.4884894, 37.4947706, 37.4945774, 37.4948152, 37.495900299999995, 37.4957813, 37.4956773]","Marsh Road Sanitary Landfill, South","Menlo Park","nan","Illegal Burn Dump","Class II","Hazardous Waste","nan","Closed","1957.0","1984.0","nan","Converted ","Public","Bedwell Bayfront Park","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/293718"
"41-AA-0013","[122.4032886, 122.4021797, 122.4019197, 122.4019962, 122.40258500000002, 122.4028986, 122.4031051, 122.40334209999999]","[37.2424619, 37.2418105, 37.2413417, 37.240824200000006, 37.2405807, 37.2404893, 37.240702399999996, 37.241640000000004]","Pescadero Solid Waste Disposal","Pescadero","Public","The County of San Mateo","Class III","Non-Hazardous Waste","nan","Closed","1962.0","1986.0","The older portion opened in 1962 and closed in 1973, the newer portion opened in 1973 and closed in 1986.","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/217966"
"41-AA-0020","[122.46434620000001, 122.4641133, 122.46417, 122.4645791, 122.46481509999998, 122.46495039999999, 122.46509520000001, 122.4652211, 122.4658913, 122.46657739999999, 122.46636969999999, 122.46622179999999, 122.4656837, 122.4649567]","[37.5859763, 37.5854002, 37.5852706, 37.585280499999996, 37.585210700000005, 37.585293, 37.585372799999995, 37.585460100000006, 37.5855249, 37.5858666, 37.586332899999995, 37.5865549, 37.5865698, 37.5861708]","Frontierland Park Landfill","Pacifica","Public","City of Pacifica","Class III","Non-Hazardous Waste","nan","Closed","1955.0","1970.0","nan","Converted ","Public","Frontierland Park","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/216526"
"41-AA-0061 ","[122.3952238, 122.3923737, 122.3921928, 122.3921023, 122.3927356, 122.39336899999999, 122.39373090000001, 122.39490719999999, 122.395812, 122.39662630000001, 122.398074, 122.39766680000001, 122.39915970000001, 122.39974790000001, 122.39983829999998, 122.3978478, 122.39716920000001, 122.3973501, 122.39603819999999]","[37.7056441, 37.6935095, 37.691862799999996, 37.6899654, 37.6897148, 37.689392600000005, 37.689177799999996, 37.68892720000001, 37.688891399999996, 37.688963, 37.6897148, 37.6903592, 37.6952278, 37.6965165, 37.7015994, 37.702243700000004, 37.704284, 37.70542929999999, 37.706682]","Brisbane Landfill","Brisbane","Public","City of Brisbane","Class III","Non-Hazardous Waste","nan","Closed","1933.0","1967.0","Exact","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/340327"
"41-AA-0065","[122.37451680000001, 122.37451680000001, 122.37527309999999, 122.3760053, 122.3796307, 122.3801229, 122.3825598, 122.3849608, 122.38522490000001, 122.3852969, 122.3838683, 122.38240379999999, 122.38056709999998, 122.37907849999999, 122.3788384, 122.37881440000001, 122.37853829999999, 122.37834620000001, 122.3782142, 122.37817820000001, 122.37813009999999, 122.37813009999999, 122.37486489999999]","[37.66250170000001, 37.661703499999994, 37.6611048, 37.6611998, 37.6609907, 37.660895700000005, 37.6609812, 37.6608767, 37.662235700000004, 37.6631955, 37.6632715, 37.6629959, 37.6628153, 37.6627773, 37.662957899999995, 37.6637466, 37.663794200000005, 37.6637561, 37.6630814, 37.6629104, 37.662729799999994, 37.6625398, 37.66260629999999]","So. San Francisco Municipal Dump/Oyster","South San Francisco","Public","City of South San Francisco","Class III","Non-Hazardous Waste","nan","Closed","1956.0","1970.0","nan","Partially Converted","Commercial/Public","Oyster Point Marina Park/Ferry Building, Oyster Point Marina","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/337888"
"41-AA-0165","[122.44021200000002, 122.43968290000001, 122.4443612, 122.44465259999998]","[37.455076399999996, 37.452732399999995, 37.4522027, 37.454589299999995]","Half Moon Bay Landfill","Half Moon Bay","Public","City of Half Moon Bay","Class III","Non-Hazardous Waste","nan","Closed","1951.0","1976.0","nan","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/339949"
"41-AA-0166","[122.2722622, 122.270458, 122.27048870000002, 122.2699513, 122.27091100000001, 122.2716557, 122.2745423, 122.27347520000001]","[37.53136920000001, 37.52995670000001, 37.529293100000004, 37.5279719, 37.527984100000005, 37.528282399999995, 37.5306325, 37.5313266]","Belmont Island Park Landfill","Belmont","nan","City of Belmont/Illegal Burn Dump","Class II","Hazardous Waste","nan","Closed","1960.0","1966.0","nan","Partially Converted","Public","Belmont Sports Complex and Conference Center","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/216527"
"41-AA-0169","[122.2514716, 122.2597311, 122.25961399999998, 122.25952609999999, 122.2594968, 122.25899890000001, 122.25612859999998]","[37.5385179, 37.5314573, 37.5340586, 37.5360328, 37.5380999, 37.5394237, 37.5403991]","Redwood Shores Landfill","Redwood City","nan","nan","nan","nan","nan","Closed","1948.0","1970.0","nan","Converted ","Commercial","Bayshore Technology Park","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/327747"
"41-AA-0176","[122.39506090000002, 122.393629, 122.39340259999999, 122.39443600000001, 122.3949182, 122.39511999999999]","[37.643074799999994, 37.643783899999995, 37.6435151, 37.6422526, 37.642112299999994, 37.6430007]","Tillo Products Co Composting Facility","South San Francisco","Private","Tillo Products Co","nan","nan","nan","Closed","1979.0","nan","No closing year","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/224192"
"41-CR-0005","[122.12302509999999, 122.12295619999999, 122.1229365, 122.12285120000001, 122.12278229999998, 122.1227659, 122.12280200000001, 122.12278229999998, 122.12269369999999, 122.1226183, 122.1225166, 122.12240179999999, 122.1223558, 122.12225079999999, 122.12216550000001, 122.12209990000001, 122.12212949999999, 122.1225756, 122.12272, 122.12268059999998, 122.1229135, 122.1230907, 122.1233105, 122.1236943, 122.12402240000002, 122.1239437, 122.12303059999999, 122.12303159999999, 122.12301200000002, 122.12303059999999]","[37.4757514, 37.475741, 37.475741, 37.4757514, 37.4757566, 37.47578529999999, 37.4758165, 37.4758451, 37.4758764, 37.475905, 37.4759545, 37.4759545, 37.4759545, 37.4759545, 37.475923200000004, 37.475865999999996, 37.4758191, 37.4757462, 37.4756967, 37.475496299999996, 37.4754338, 37.47538170000001, 37.4753609, 37.475358299999996, 37.4753713, 37.47547539999999, 37.4757382, 37.475735799999995, 37.4757436, 37.4757382]","Bay Road","East Palo Alto","Public","City of East Palo Alto","Class III","Non-Hazardous Waste","nan","Closed","1932.0","1957.0","nan","Converted ","Public","Cooley Landing Park","Pre-regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/290564"
"41-CR-0008","[122.39774469999999, 122.39770619999999, 122.39759070000001, 122.3974175, 122.3970807, 122.39667649999998, 122.3964648, 122.396051, 122.39578159999999, 122.3957334, 122.39613759999999, 122.3961472, 122.3959355, 122.39582970000001, 122.3956468, 122.3956757, 122.3957719, 122.3959933, 122.39628200000001, 122.3967439, 122.3978216, 122.39865890000002, 122.3987358, 122.3987551, 122.39854340000001]","[37.2467477, 37.247368200000004, 37.247552, 37.2476669, 37.2476439, 37.247506099999995, 37.247437100000006, 37.247437100000006, 37.2474065, 37.2462344, 37.245928, 37.2456599, 37.2454684, 37.2451467, 37.244602799999996, 37.2441738, 37.243989899999995, 37.243875, 37.2438061, 37.2438061, 37.244602799999996, 37.245560299999994, 37.246004600000006, 37.2462881, 37.2464336]","Pescadero (Old)","Pescadero","Public","County Of San Mateo Public Works","nan","Burn Dump","Illegal Dump","Closed","1963.0","1975.0","nan","Not Converted","nan","nan","TBD","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/294293"
"41-CR-0013","[122.29131140000001, 122.29130359999998, 122.2912889, 122.29129669999999]","[37.2762398, 37.2762453, 37.2762384, 37.2762322]","San Mateo County Memorial Park","San Mateo","Public","County Of San Mateo -Dept Parks & Recs","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","TBD","nan"
"41-CR-0028","[122.3856433, 122.38551899999999, 122.3855291, 122.3856838, 122.38571429999999, 122.38594509999999, 122.3860795, 122.3866832, 122.38603640000001, 122.3859553]","[37.6612408, 37.6611424, 37.6608532, 37.6601363, 37.6600801, 37.6600219, 37.6600219, 37.660538, 37.66105, 37.660995799999995]","USDA Building","South San Francisco","nan","nan","Class III","Non-Hazardous Waste","Burn Dump","Closed","1950.0","1980.0","Opened in the 1950's and closed by 1985 ","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/323767"
"41-CR-0029","[122.2179837, 122.2134733, 122.21335259999998, 122.2123721, 122.212523, 122.21302079999998, 122.21357890000002, 122.2186926]","[37.4930023, 37.4929544, 37.4924039, 37.4908838, 37.4902136, 37.489782700000006, 37.4896151, 37.4915541]","Harbor View ACW Disposal Site","Redwood City","Private","Harbor View Property LLC","Class I","Hazardous Waste","Asbestos","Closed","nan","nan","nan","nan","nan","nan","Unpermitted","nan"
"43-AA-0004","[121.47847959999999, 121.4780348, 121.4780348, 121.47799440000001, 121.47711809999998, 121.47705069999999, 121.4792884, 121.4806365, 121.4815531, 121.481971, 121.48296850000001, 121.48290109999999, 121.48257759999998, 121.48202490000001, 121.4816879, 121.48079820000001, 121.48055559999999, 121.48038030000001, 121.4801242, 121.48004329999999, 121.47984109999999, 121.4790862]","[36.9963225, 36.9960211, 36.9960426, 36.9960641, 36.9947291, 36.9941047, 36.9917145, 36.9922636, 36.9937278, 36.9949122, 36.996311799999994, 36.996624, 36.996817799999995, 36.997000799999995, 36.997000799999995, 36.9968393, 36.997000799999995, 36.9971408, 36.9973023, 36.9973453, 36.997280700000005, 36.99657020000001]","Recology Pacheco Pass","Gilroy","Private","Recology Pacheco Pass","Class III","Non-Hazardous Waste","nan","Closed","nan","2011.0","No opening year","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/390181"
"43-AA-0005","[122.0355303, 122.0359501, 122.03744640000002, 122.039401, 122.0396436, 122.0396976, 122.0396976, 122.0396706, 122.03960320000002, 122.0395628, 122.0393875, 122.0381033, 122.03607140000001, 122.03541990000001, 122.0352101, 122.035326, 122.0354862, 122.0526328, 122.05181, 122.0512835, 122.0512506, 122.051448, 122.05181, 122.052205, 122.0526657, 122.05289609999998, 122.05332390000001, 122.0539821, 122.05424540000001, 122.0543441, 122.0542125, 122.05375169999999, 122.0531594, 122.0531594]","[37.4255595, 37.4254185, 37.4252473, 37.4253436, 37.425397100000005, 37.4256326, 37.4259645, 37.4261679, 37.4263606, 37.4265105, 37.4267888, 37.426704, 37.426567999999996, 37.426423299999996, 37.4262479, 37.425940999999995, 37.4257218, 37.4328266, 37.4318596, 37.430343900000004, 37.429899600000006, 37.4294031, 37.42961210000001, 37.4299519, 37.4299519, 37.4299519, 37.4298473, 37.4296383, 37.430004100000005, 37.430553, 37.4309972, 37.4312847, 37.431389200000005, 37.4318335]","Alameda Point OU4A (Former NAS Alameda)","Mountain View","nan","nan","nan","nan","nan","Closed","1956.0","1965.0","Estimates based off aerial photosgraphs in closure document","nan","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/438785"
"43-AA-0005","[122.0355303, 122.0359501, 122.03744640000002, 122.039401, 122.0396436, 122.0396976, 122.0396976, 122.0396706, 122.03960320000002, 122.0395628, 122.0393875, 122.0381033, 122.03607140000001, 122.03541990000001, 122.0352101, 122.035326, 122.0354862, 122.0526328, 122.05181, 122.0512835, 122.0512506, 122.051448, 122.05181, 122.052205, 122.0526657, 122.05289609999998, 122.05332390000001, 122.0539821, 122.05424540000001, 122.0543441, 122.0542125, 122.05375169999999, 122.0531594, 122.0531594]","[37.4255595, 37.4254185, 37.4252473, 37.4253436, 37.425397100000005, 37.4256326, 37.4259645, 37.4261679, 37.4263606, 37.4265105, 37.4267888, 37.426704, 37.426567999999996, 37.426423299999996, 37.4262479, 37.425940999999995, 37.4257218, 37.4328266, 37.4318596, 37.430343900000004, 37.429899600000006, 37.4294031, 37.42961210000001, 37.4299519, 37.4299519, 37.4299519, 37.4298473, 37.4296383, 37.430004100000005, 37.430553, 37.4309972, 37.4312847, 37.431389200000005, 37.4318335]","Alameda Point OU3 (Former NAS Alameda)","Mountain View","nan","nan","nan","nan","nan","Closed","1956.0","1965.0","Estimates based off aerial photosgraphs in closure document","nan","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/438785"
"43-AA-0006","[122.09534939999999, 122.0954493, 122.095548, 122.09537079999998, 122.09537079999998, 122.0953835, 122.0856749, 122.08662930000001, 122.08748500000002, 122.0881432, 122.0881432, 122.0882419, 122.0891963, 122.0897229, 122.09034820000001, 122.0905127, 122.0908747, 122.0916646, 122.092257, 122.0928165, 122.09357340000001, 122.0941658, 122.0949227, 122.09525179999999, 122.09534939999999, 122.0949885, 122.0944949, 122.0939683, 122.0931127, 122.0926848, 122.0924544, 122.09146709999999, 122.090776, 122.0899862, 122.08853810000001, 122.08666219999999, 122.08669509999999, 122.0859382, 122.08449009999998, 122.08409520000001, 122.0838648, 122.0829104, 122.08271289999999, 122.0823838, 122.081956, 122.081594, 122.081594, 122.07237909999999, 122.07056899999999, 122.06971329999999, 122.06981210000001, 122.0726753, 122.0727082, 122.0732347, 122.07346509999998, 122.073498, 122.0763283, 122.0762625, 122.0760321, 122.0754068, 122.07504479999999, 122.07484740000001, 122.0747815, 122.0748803, 122.07484740000001, 122.07823710000001, 122.08040919999999, 122.08090290000001, 122.08175849999999, 122.0825155, 122.0824497, 122.08179150000001, 122.08100159999998, 122.08040919999999, 122.0865635, 122.0868597, 122.0901507, 122.09209240000001, 122.09419869999999, 122.09528470000001]","[37.4331723, 37.433296999999996, 37.434237700000004, 37.434628700000005, 37.434628700000005, 37.435492100000005, 37.4351785, 37.4332186, 37.433114, 37.4333231, 37.4336367, 37.4338719, 37.4340548, 37.4338719, 37.4337412, 37.434237700000004, 37.4343945, 37.434211600000005, 37.4340287, 37.4341071, 37.434472899999996, 37.4346559, 37.434420700000004, 37.4348911, 37.4331723, 37.432722, 37.4323823, 37.432121, 37.4321732, 37.4314938, 37.4308404, 37.4302393, 37.4305007, 37.4312847, 37.431467600000005, 37.4313631, 37.4303961, 37.4297951, 37.4307359, 37.43091879999999, 37.431337, 37.4315983, 37.4323039, 37.4330095, 37.433506, 37.4340548, 37.4350217, 37.4358841, 37.4311018, 37.430474600000004, 37.428540600000005, 37.4284099, 37.42644979999999, 37.4263714, 37.4262669, 37.4249601, 37.4249078, 37.425770299999996, 37.426083899999995, 37.426685, 37.426868, 37.4271816, 37.427652, 37.4279395, 37.428619, 37.428540600000005, 37.428436100000006, 37.4280441, 37.427991799999994, 37.4277304, 37.42684179999999, 37.426057799999995, 37.4256658, 37.4233919, 37.4234703, 37.4246987, 37.4246987, 37.425143, 37.4262669, 37.4287758]","Shoreline Regional SLF/Mountain View SLF","Mountain View","Public","City Of Mountain View Utilities Div","Class III","Non-Hazardous Waste","nan","Closed","1971.0","1988.0","The landfill consists of three landfills","Converted ","Public/Commercial","Shoreline Amphitheater, Golfcourse","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/442941"
"43-AA-0007","[122.02291480000001, 122.01738799999998, 122.01845290000001, 122.0159051, 122.0152581, 122.01324960000001, 122.01231940000001, 122.01060749999999, 122.01023, 122.00985259999999, 122.00977169999999, 122.00305859999999, 122.0037596, 122.0042044, 122.0040561, 122.0115106, 122.0126834, 122.0158377, 122.0201379, 122.02395279999999]","[37.4220356, 37.4202049, 37.419048700000005, 37.4183742, 37.418053, 37.417549799999996, 37.4174749, 37.417325, 37.417689, 37.418620399999995, 37.419112899999995, 37.4182243, 37.416618400000004, 37.4153015, 37.4149267, 37.416532700000005, 37.4165006, 37.416950299999996, 37.417946, 37.4187596]","City Of Sunnyvale Landfill","Sunnyvale","Public","City of Sunnyvale","Class III","Non-Hazardous Waste","nan","Closed","1920.0","1993.0","Opening Year Unkonwn","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/216905"
"43-AA-0033","[121.5261074, 121.5258635, 121.5250437, 121.5245702, 121.52518859999999, 121.525443, 121.52632290000001, 121.52700490000001, 121.5269449]","[37.021998499999995, 37.021705100000005, 37.0222016, 37.0215951, 37.0211521, 37.021056200000004, 37.0206076, 37.0213073, 37.021533000000005]","Del Toro Wood Grinding","Gilroy","Private","Uriel Del Toro","Class III","Non-Hazardous Waste","nan","Closed","nan","2017.0","Opening year unknown, business was operating unlawfully. Closing year is estimated from inspection reports. ","Not Converted","nan","nan","Notification","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/217396"
"43-AM-0001","[122.1036196, 122.1021375, 122.1024848, 122.1028554, 122.1030175, 122.1034112, 122.10385120000001, 122.1036659, 122.1033649, 122.10267009999998, 122.1035038, 122.1043375, 122.1057502, 122.1059586, 122.1061902, 122.1065145, 122.1068155, 122.10751029999999, 122.10936299999999, 122.1099883, 122.1101504, 122.10818190000002, 122.1076955, 122.1060976, 122.10503229999999]","[37.453769, 37.45182020000001, 37.450606799999996, 37.4490808, 37.447757, 37.4471503, 37.4463045, 37.445918400000004, 37.445605900000004, 37.4448336, 37.4429398, 37.4428111, 37.4427375, 37.44317879999999, 37.4437672, 37.4441901, 37.4445394, 37.4450175, 37.4440982, 37.4436385, 37.4500185, 37.4514157, 37.451378999999996, 37.4510113, 37.4514709]","City of Palo Alto Refuse Disposal Site","Palo Alto","Public","City of Palo Alto","Class III","Non-Hazardous Waste","nan","Closed","1930.0","2011.0","Opening year is estimated, the last time the landfill accepted fill was in 2011 but closure officially happened in 2015.","Converted ","Public","Byxbee Park","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/363528"
"43-AN-0004","[121.9780294, 121.97714440000001, 121.97469440000002, 121.97416559999999, 121.97385259999999, 121.97570900000001, 121.9768314, 121.97736029999999, 121.9800584, 121.98010159999998, 121.98051170000001, 121.9852497, 121.9852389, 121.98519579999999, 121.9839006, 121.98352290000001, 121.9820227, 121.98158020000001, 121.980965, 121.98077079999999, 121.98093259999999, 121.98057649999998, 121.9803822, 121.9798426, 121.9798318, 121.9796915, 121.97942169999999, 121.9790223, 121.9788281, 121.9786878, 121.97836399999998, 121.978256]","[37.4208941, 37.42109129999999, 37.4192227, 37.4187169, 37.41827120000001, 37.4173969, 37.417054, 37.416916799999996, 37.4158196, 37.4179969, 37.4183226, 37.418331200000004, 37.4185455, 37.418656899999995, 37.419188399999996, 37.419377000000004, 37.4198141, 37.419985499999996, 37.4204313, 37.421828399999995, 37.422608399999994, 37.422796999999996, 37.4229598, 37.4224027, 37.422205600000005, 37.42198270000001, 37.421579799999996, 37.4213741, 37.421125599999996, 37.42109129999999, 37.4209541, 37.4209198]","Marshland Solid Waste Facility (Highway 237 Landfill)","San Jose","Private","Cargill Salt/WCSJ LLC","Class III","Non-Hazardous Waste","nan","Closed","1962.0","1981.0","nan","Converted ","Commercial","Business Park","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/279643"
"43-AN-0005","[121.9538328, 121.9478157, 121.94502820000001, 121.9449054, 121.9450528, 121.94513870000002, 121.94668600000001, 121.9520277]","[37.4363717, 37.4365277, 37.436508200000006, 37.4361475, 37.435923200000005, 37.4357574, 37.435074900000004, 37.4332125]","Nine Par Landfill","San Jose","Public/Private","Zanker Road Resource Management, Ltd/ City of San Jose","nan","nan","nan","Closed","1938.0","1977.0","nan","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/217258"
